,State,crop
0,ALABAMA,131999.4868522389
1,ARKANSAS,1597221.0584374964
2,DELAWARE,70547.13130277161
3,GEORGIA,64449.038473927445
4,ILLINOIS,6264768.399603487
5,INDIANA,3374978.045325368
6,IOWA,5729888.23022961
7,KANSAS,1168211.6606013775
8,KENTUCKY,1038722.1589058465
9,LOUISIANA,476602.29424400936
10,MARYLAND,208853.89296544797
11,MICHIGAN,997049.68309823
12,MINNESOTA,3500798.023049748
13,MISSISSIPPI,1233416.4293926046
14,MISSOURI,2649444.685601079
15,NEBRASKA,2766689.748407574
16,NEW JERSEY,46227.7113291627
17,NEW YORK,176260.8093240843
18,NORTH CAROLINA,624651.5972136767
19,NORTH DAKOTA,2251058.990788209
20,OHIO,2789384.928406232
21,OKLAHOMA,129858.13945577352
22,PENNSYLVANIA,266231.3360878238
23,SOUTH CAROLINA,125378.30308028425
24,SOUTH DAKOTA,2175230.4079166255
25,TENNESSEE,811753.8416015926
26,TEXAS,30976.419333052643
27,VIRGINIA,235450.38674332123
28,WISCONSIN,1022636.3148093983
