State,2024-04-21
ALABAMA,2.0
ARIZONA,
ARKANSAS,43.0
CALIFORNIA,
COLORADO,
CONNECTICUT,
DELAWARE,3.0
DISTRICT OF COLUMBIA,
FLORIDA,
GEORGIA,2.0
IDAHO,
ILLINOIS,11.0
INDIANA,2.0
IOWA,8.0
KANSAS,6.0
KENTUCKY,13.0
LOUISIANA,42.0
MAINE,
MARYLAND,1.0
MASSACHUSETTS,
MICHIGAN,1.0
MINNESOTA,5.0
MISSISSIPPI,28.0
MISSOURI,16.0
MONTANA,
NEBRASKA,2.0
NEVADA,
NEW HAMPSHIRE,
NEW JERSEY,
NEW MEXICO,
NEW YORK,
NORTH CAROLINA,6.0
NORTH DAKOTA,0.0
OHIO,0.0
OKLAHOMA,0.0
OREGON,
PENNSYLVANIA,
RHODE ISLAND,
SOUTH CAROLINA,3.0
SOUTH DAKOTA,0.0
TENNESSEE,17.0
TEXAS,0.0
UTAH,
VERMONT,
VIRGINIA,9.0
WASHINGTON,
WEST VIRGINIA,0.0
WISCONSIN,2.0
WYOMING,
