State,Week Ending,Value
ALABAMA,2024-04-21,2.0
ARKANSAS,2024-04-21,43.0
DELAWARE,2024-04-21,3.0
GEORGIA,2024-04-21,2.0
ILLINOIS,2024-04-21,11.0
INDIANA,2024-04-21,2.0
IOWA,2024-04-21,8.0
KANSAS,2024-04-21,6.0
KENTUCKY,2024-04-21,13.0
LOUISIANA,2024-04-21,42.0
MARYLAND,2024-04-21,1.0
MICHIGAN,2024-04-21,1.0
MINNESOTA,2024-04-21,5.0
MISSISSIPPI,2024-04-21,28.0
MISSOURI,2024-04-21,16.0
NEBRASKA,2024-04-21,2.0
NORTH CAROLINA,2024-04-21,6.0
NORTH DAKOTA,2024-04-21,0.0
OHIO,2024-04-21,0.0
OKLAHOMA,2024-04-21,0.0
SOUTH CAROLINA,2024-04-21,3.0
SOUTH DAKOTA,2024-04-21,0.0
TENNESSEE,2024-04-21,17.0
TEXAS,2024-04-21,0.0
VIRGINIA,2024-04-21,9.0
WEST VIRGINIA,2024-04-21,0.0
WISCONSIN,2024-04-21,2.0
CONNECTICUT,2024-04-21,
DISTRICT OF COLUMBIA,2024-04-21,
FLORIDA,2024-04-21,
COLORADO,2024-04-21,
IDAHO,2024-04-21,
MAINE,2024-04-21,
NEVADA,2024-04-21,
ARIZONA,2024-04-21,
CALIFORNIA,2024-04-21,
MONTANA,2024-04-21,
MASSACHUSETTS,2024-04-21,
NEW JERSEY,2024-04-21,
NEW MEXICO,2024-04-21,
NEW HAMPSHIRE,2024-04-21,
NEW YORK,2024-04-21,
OREGON,2024-04-21,
PENNSYLVANIA,2024-04-21,
RHODE ISLAND,2024-04-21,
UTAH,2024-04-21,
VERMONT,2024-04-21,
WASHINGTON,2024-04-21,
WYOMING,2024-04-21,
