DATE,MAX,MIN,PRCP
2023-01-01,26.02631578947368,16.804093567251464,0.0010526315789473684
2023-01-08,25.9243156199678,17.583735909822863,0.016956521739130433
2023-01-15,25.77119341563786,16.238271604938273,0.0
2023-01-22,26.389291465378424,17.29911433172303,0.026304347826086955
2023-01-29,24.649758454106276,17.396135265700487,0.09384057971014492
2023-02-05,24.929256594724215,18.066746602717824,0.8982014388489208
2023-02-12,25.117905675459628,18.870503597122294,0.11071942446043166
2023-02-19,24.193236714975843,17.566425120772948,0.3886231884057971
2023-02-26,24.55032206119162,18.657809983896943,0.23818840579710143
2023-03-05,23.6810551558753,17.61031175059952,0.921294964028777
2023-03-12,24.87721417069243,17.066022544283417,0.06282608695652174
2023-03-19,26.810151878497194,19.34652278177458,0.01820143884892086
2023-03-26,26.66986410871303,18.801358912869702,0.08705035971223021
2023-04-02,26.100644122383255,18.801529790660222,0.08514492753623189
2023-04-09,25.552777777777774,18.48174603174603,0.1277142857142857
2023-04-16,25.656349206349205,18.421428571428574,0.06685714285714285
2023-04-23,26.466666666666665,18.642460317460316,0.12385714285714286
2023-04-30,26.146031746031742,18.552777777777774,0.09792857142857143
2023-05-07,26.386111111111106,18.99761904761905,0.026857142857142857
2023-05-14,26.104365079365078,18.451984126984126,0.039142857142857146
2023-05-21,26.46150793650793,19.015476190476193,0.07314285714285715
2023-05-28,26.390476190476186,19.297222222222224,0.05621428571428572
2023-06-04,26.453968253968252,19.27936507936508,0.0665
2023-06-11,27.600000000000005,19.492460317460317,0.7240714285714285
2023-06-18,27.59761904761905,20.218650793650795,0.7419285714285714
2023-06-25,27.598412698412698,20.22460317460318,0.028428571428571428
2023-07-02,27.685714285714287,20.27261904761905,0.7462142857142856
2023-07-09,27.828174603174602,20.630158730158726,0.020285714285714285
2023-07-16,28.06230158730159,20.550396825396827,0.018214285714285714
2023-07-23,28.466666666666672,21.817460317460316,0.08607142857142858
2023-07-30,28.563492063492063,21.67301587301587,0.013928571428571429
2023-08-06,28.379365079365087,20.852380952380955,0.017857142857142856
2023-08-13,28.83333333333333,21.55677210056772,0.020802919708029197
2023-08-20,28.44319131161236,21.24269005847954,0.012706766917293232
2023-08-27,28.564745196324136,21.240601503759404,0.790375939849624
2023-09-03,28.646616541353378,21.07309941520468,0.024210526315789474
2023-09-10,28.51127819548872,20.567669172932327,0.015413533834586464
2023-09-17,28.674185463659146,21.22222222222222,0.02669172932330827
2023-09-24,28.24620303756995,21.33852917665867,0.03762589928057554
2023-10-01,28.519841269841272,20.83809523809524,0.033857142857142856
2023-10-08,28.250793650793653,19.949206349206353,0.007285714285714286
2023-10-15,28.168253968253968,20.256746031746033,0.0074285714285714285
2023-10-22,28.133333333333333,19.56230158730159,0.008285714285714285
2023-10-29,28.1218253968254,19.396825396825395,0.04164285714285714
2023-11-05,28.30793650793651,19.71349206349206,0.003285714285714286
2023-11-12,28.03055555555555,20.54880952380952,0.022000000000000002
2023-11-19,26.69007936507936,19.073015873015876,0.06392857142857143
2023-11-26,26.703968253968256,19.308333333333337,0.06585714285714286
2023-12-03,26.090476190476185,19.314682539682533,1.0175714285714286
2023-12-10,26.625,18.50595238095238,0.026285714285714287
2023-12-17,25.421031746031748,18.3515873015873,0.04428571428571429
2023-12-24,24.446031746031743,18.558730158730157,0.10792857142857143
2023-12-31,25.410317460317465,17.22738095238095,0.7364285714285714
