no,State,2024-05-24,2024-05-17,2024-05-10,2024-05-03,2024-04-26,2024-06-07
0,ALABAMA,132120.06192675844,131938.0986547867,132168.17869427754,131967.91157162678,131881.507696641,132028.9318962375
1,ARKANSAS,1598389.1294719044,1596626.3602746783,1598855.2606572458,1596915.1729065666,1596078.135367642,1597506.307301233
2,DELAWARE,70605.53485449203,70517.39639463072,70628.84141375909,70531.83702622513,70489.98514927889,70561.39374595844
3,GEORGIA,64509.326011187215,64418.34437520135,64533.38439494677,64433.25083362139,64390.048896128494,64463.76099592676
4,ILLINOIS,6268724.76923616,6262754.099374588,6270303.6006703805,6263732.335708402,6260897.208560431,6265734.5651096925
5,INDIANA,3377144.628695641,3373874.976152399,3378009.2268620003,3374410.6770018693,3372858.1073732185,3375507.135959718
6,IOWA,5733731.56072992,5727931.481435821,5735265.282694592,5728881.768160099,5726127.644644927,5730826.791007066
7,KANSAS,1169813.0483098405,1167396.3486039657,1170452.0991284533,1167792.301405748,1166644.749941093,1168602.7275919842
8,KENTUCKY,1039456.9132662,1038348.0745776223,1039750.1248182696,1038529.7470396165,1038003.223426422,1038901.5896427132
9,LOUISIANA,477035.610918064,476381.6804094156,477208.5305513358,476488.8205793096,476178.30665357946,476708.1123708795
10,MARYLAND,209025.33564953043,208766.6066221957,209093.75167834663,208808.99686332763,208686.1413535822,208895.7601373835
11,MICHIGAN,997878.636735552,996627.6392407464,998209.4395122456,996832.6030440218,996238.5764034946,997252.1177757204
12,MINNESOTA,3503624.0013588,3499359.2371719624,3504751.738097529,3500057.9774104017,3498032.8865904226,3501488.141268466
13,MISSISSIPPI,1234264.2228853202,1232984.793629269,1234602.543906939,1233194.4157008007,1232586.888454807,1233623.46485822
14,MISSOURI,2651705.4682483203,2648293.6568988506,2652607.657639304,2648852.649089602,2647232.5764336186,2649996.780176053
15,NEBRASKA,2768686.773079304,2765673.0063872724,2769483.707041339,2766166.782822436,2764735.718642984,2767177.431948801
16,NEW JERSEY,46269.1590110288,46206.60913628852,46285.69914986349,46216.85732645229,46187.15599442593,46237.83306303724
17,NEW YORK,176392.68831184003,176193.66598312097,176445.31602631407,176226.27386091478,176131.7696226491,176293.01484095777
18,NORTH CAROLINA,625273.312441668,624335.0643205638,625521.4145241884,624488.7871730204,624043.267192625,624803.4232217944
19,NORTH DAKOTA,2253658.8908325364,2249735.307780646,2254696.408632167,2250378.14880001,2248515.065245629,2251693.899549429
20,OHIO,2791268.9139456,2788425.7378210416,2792020.738438086,2788891.564646668,2787541.504100015,2789845.0072187106
21,OKLAHOMA,130065.377865104,129752.62849140256,130148.07855927743,129803.86944222146,129655.36278208964,129908.74812514614
22,PENNSYLVANIA,266449.87841039046,266120.0699799417,266537.0900515188,266174.10589171434,266017.4988683026,266284.70523007127
23,SOUTH CAROLINA,125510.18206804,125311.15973932092,125562.80978251404,125343.76761711476,125249.26337884906,125410.50859715776
24,SOUTH DAKOTA,2177189.7528775684,2174232.849708028,2177971.650349754,2174717.309606679,2173313.24663816,2175708.889881603
25,TENNESSEE,812375.556829584,811437.3087084799,812623.6589121044,811591.0315609364,811145.511580541,811905.6676097105
26,TEXAS,31014.09904384,30957.23552134884,31029.13553368972,30966.55205786136,30939.550846928298,30985.62090930221
27,VIRGINIA,235687.7689212816,235329.52872958724,235782.49880733484,235388.22290961613,235218.11528073787,235508.35667369352
28,WISCONSIN,1023465.26844672,1022214.2709519144,1023796.071223414,1022419.23475519,1021825.2081146628,1022838.7494868888
